"Pais","Regiao","Ano","Populacao","ExpectativaVida","PIB","PIB_Capita","Fertilidade","Pobreza"
"Belize","Latin America & Caribbean",2010,321609,69.7820487804878,1397113450,7716.0572369195,2.714,NA
"Belize","Latin America & Caribbean",2011,329193,69.8436829268293,1486712300,7855.67442309914,2.676,NA
"Belize","Latin America & Caribbean",2012,336707,69.9051463414634,1573618750,8114.4437091069,2.643,NA
"Canada","North America",2011,34342780,81.3492926829268,1788703385548.26,41565.2712210369,1.61,NA
"Canada","North America",2010,34005274,81.4129268292683,1613406134731.12,40069.4709625183,1.6269,NA
"Canada","North America",2009,33628571,81.1114634146342,1371153004986.44,38746.2502780317,1.668,NA
"Canada","North America",2012,34751476,81.5624390243903,1824288757447.57,42143.9687843089,1.61,NA
"Congo, Dem. Rep.","Sub-Saharan Africa",2009,63845097,56.3370731707317,18262773820.8055,556.728075085533,6.476,NA
"Congo, Dem. Rep.","Sub-Saharan Africa",2011,68087376,57.3986341463415,23849009737.6669,617.147961359502,6.294,NA
"Congo, Dem. Rep.","Sub-Saharan Africa",2010,65938712,56.8961463414634,20523285374.187,584.260054791406,6.386,NA
"Congo, Dem. Rep.","Sub-Saharan Africa",2012,70291160,57.8540731707317,27463220380.0054,652.38858743842,6.199,90.73
"Central African Republic","Sub-Saharan Africa",2010,4444973,47.6253170731707,1986014845.63184,870.739164242144,4.624,NA
"Central African Republic","Sub-Saharan Africa",2009,4361492,46.9349756097561,1981728140.77833,850.777697305853,4.714,NA
"Central African Republic","Sub-Saharan Africa",2011,4530903,48.3504390243903,2212699746.81377,900.639784528143,4.537,NA
"Central African Republic","Sub-Saharan Africa",2012,4619500,49.1052926829268,2184183758.31567,925.714944887756,4.451,NA
"Congo, Rep.","Sub-Saharan Africa",2011,4177435,60.0851707317073,14425607224.168,5632.43587545625,4.994,52.91
"Congo, Rep.","Sub-Saharan Africa",2010,4066078,59.1431219512195,12007880590.4575,5482.1113761029,5.02,NA
"Congo, Rep.","Sub-Saharan Africa",2012,4286188,60.9239024390244,13677930123.5919,5803.08880013078,4.961,NA
"Congo, Rep.","Sub-Saharan Africa",2009,3950786,58.0936341463415,9593536531.23778,5125.45061355392,5.038,NA
"Switzerland","Europe & Central Asia",2012,7996861,82.6975609756098,665408300271.743,57205.3721892359,1.52,NA
"Switzerland","Europe & Central Asia",2011,7912398,82.6951219512195,696311671959.459,54550.6893664757,1.52,NA
"Switzerland","Europe & Central Asia",2010,7824909,82.2463414634147,581211708792.789,51356.9639825486,1.52,NA
"Switzerland","Europe & Central Asia",2009,7743831,82.0439024390244,539528229942.101,49903.2731853737,1.5,NA
"Cote d'Ivoire","Sub-Saharan Africa",2010,20131707,50.1514634146342,24884505034.5564,2671.13955296331,5.231,NA
"Cote d'Ivoire","Sub-Saharan Africa",2011,20604172,50.5172195121951,25381616734.0693,2546.90681230458,5.177,NA
"Cote d'Ivoire","Sub-Saharan Africa",2012,21102641,50.8633414634146,27040562587.1771,2803.70093712871,5.121,NA
"Cote d'Ivoire","Sub-Saharan Africa",2009,19684909,49.7404878048781,24277493862.0625,2645.43063428038,5.283,NA
